1,721,261620
1,674,251390
1,676,241632
2,814,49727
2,674,44381
2,648,41299
3,650,17970
3,1129,17043
3,549,17461
4,828,10247
4,689,8803
4,860,7377
5,883,5461
5,921,5679
5,819,5226
6,769,3524
6,645,2670
6,621,3361
7,689,3811
7,826,4480
7,778,3996
8,757,2612
8,761,3964
8,600,2762
9,636,2695
9,572,2165
9,833,2847
10,718,1497
10,647,2060
10,560,1093
11,1238,3010
11,582,2680
11,606,2041
12,756,2384
12,602,1514
12,699,1624
13,692,1250
13,615,1160
13,804,1886
14,617,1161
14,639,2083
14,602,1749
15,748,1017
15,720,1356
15,751,1155
16,648,1301
16,700,3023
16,967,1337
17,745,1513
17,1092,1373
17,663,1252
18,773,1397
18,679,1461
18,568,1445
19,640,2206
19,670,1850
19,609,1566
20,823,1709
20,702,998
20,756,1602
21,657,1021
21,575,752
21,508,1156
22,926,1260
22,721,845
22,930,1002
23,708,1040
23,704,961
23,782,1121
24,571,851
24,630,693
24,683,735
25,694,829
25,652,927
25,587,817
26,625,724
26,947,1166
26,697,1363
27,687,895
27,771,1973
27,638,1119
28,541,925
28,800,1341
28,600,1093
29,574,1136
29,954,1129
29,734,1038
30,722,871
30,542,763
30,580,1150
31,630,946
31,554,731
31,651,731
32,688,1150
32,589,810
32,558,767
33,690,1133
33,821,1173
33,781,813
34,513,724
34,686,1149
34,669,932
35,575,685
35,648,655
35,583,1426
36,815,1131
36,849,1029
36,692,896
37,593,743
37,698,808
37,716,780
38,842,977
38,549,735
38,677,927
39,693,1120
39,767,860
39,528,590
1,5829,2279838
1,6666,2544405
1,4360,2272317
2,7578,466435
2,9382,375097
2,5970,418477
3,9250,136851
3,3627,124707
3,6533,153856
4,4824,124744
4,3781,77415
4,3967,74431
5,5466,35058
5,4845,69916
5,3788,31649
6,5260,55363
6,4883,43841
6,5617,43684
7,7500,34029
7,6073,46340
7,3857,20495
8,4184,26381
8,3129,30456
8,5289,46179
9,7688,28832
9,6244,14547
9,4885,31581
10,5437,20901
10,7078,18695
10,5635,27268
11,5004,20846
11,4213,29927
11,5352,17962
12,4263,20840
12,4536,24018
12,5450,12578
13,5766,14201
13,5116,11697
13,8739,27331
14,5934,12223
14,3767,10188
14,7296,25123
15,6087,10288
15,4249,16166
15,4306,17524
16,4824,30647
16,4747,14316
16,7054,12240
17,5817,16393
17,6586,14155
17,7100,11083
18,5868,17594
18,5510,10929
18,6454,11406
19,4955,15181
19,5265,27058
19,4043,11352
20,5657,13331
20,4320,6036
20,5271,20246
21,4860,5655
21,6039,11962
21,6901,8914
22,8288,10647
22,4072,8564
22,4257,5016
23,4764,9172
23,5750,7460
23,4628,17388
24,5383,10742
24,4551,7902
24,6512,9248
25,4358,5526
25,4049,6085
25,4747,6778
26,4250,10438
26,4684,5525
26,4977,24490
27,4570,9593
27,5583,5754
27,4233,5710
28,5213,7321
28,4583,7129
28,5494,7396
29,5414,6501
29,3383,11607
29,5195,8088
30,4720,8405
30,4885,6462
30,3440,5705
31,5246,7581
31,6647,9207
31,4574,7947
32,9008,10947
32,4784,5523
32,5589,5624
33,6661,7514
33,5174,9979
33,3873,4830
34,4668,8069
34,4010,4471
34,7961,14249
35,3721,9418
35,4621,7344
35,4502,6142
36,5135,8969
36,8082,9052
36,4596,5772
37,4603,11266
37,5274,5679
37,4782,7026
38,4946,5045
38,4545,4917
38,5804,7952
39,5003,6530
39,9084,9337
39,4296,6786
