1,0,0,0
1,0,0,0
1,0,0,0
2,7,7,7
2,13,13,13
2,10,10,10
3,34,34,34
3,39,39,39
3,41,41,41
4,61,61,61
4,65,65,65
4,70,70,70
5,131,131,131
5,94,94,94
5,93,93,93
6,107,107,107
6,147,147,147
6,159,159,159
7,212,212,212
7,187,187,187
7,146,146,146
8,288,288,288
8,267,267,267
8,210,210,210
9,264,264,264
9,263,263,263
9,305,305,305
10,346,346,346
10,388,388,388
10,311,311,311
11,364,364,364
11,415,415,415
11,436,436,436
12,435,435,435
12,495,495,495
12,501,501,501
13,484,484,484
13,543,543,543
13,509,509,509
14,592,592,592
14,674,674,674
14,540,540,540
15,685,685,685
15,793,793,793
15,761,761,761
16,827,827,827
16,753,753,753
16,789,789,789
17,896,896,896
17,791,791,791
17,865,865,865
18,937,937,937
18,996,996,996
18,933,933,933
19,1064,1064,1064
19,1168,1168,1168
19,1079,1079,1079
20,1104,1104,1104
20,1149,1149,1149
20,1103,1103,1103
21,1315,1315,1315
21,1293,1293,1293
21,1158,1158,1158
22,1341,1341,1341
22,1176,1176,1176
22,1489,1489,1489
23,1574,1574,1574
23,1531,1531,1531
23,1296,1296,1296
24,1514,1514,1514
24,1722,1722,1722
24,1629,1629,1629
25,1613,1613,1613
25,1630,1630,1630
25,2042,2042,2042
26,1854,1854,1854
26,1844,1844,1844
26,1924,1924,1924
27,2131,2131,2131
27,1881,1881,1881
27,1847,1847,1847
28,2036,2036,2036
28,2021,2021,2021
28,2103,2103,2103
29,2262,2262,2262
29,2146,2146,2146
29,2170,2170,2170
30,2264,2264,2264
30,2152,2152,2152
30,2309,2309,2309
31,2512,2512,2512
31,2467,2467,2467
31,2383,2383,2383
32,2612,2612,2612
32,2640,2640,2640
32,2761,2761,2761
33,2720,2720,2720
33,2791,2791,2791
33,2529,2529,2529
34,2993,2993,2993
34,2872,2872,2872
34,3003,3003,3003
35,3291,3291,3291
35,3231,3231,3231
35,3143,3143,3143
36,3355,3355,3355
36,3309,3309,3309
36,3400,3400,3400
37,3577,3577,3577
37,3369,3369,3369
37,3634,3634,3634
38,3773,3773,3773
38,3488,3488,3488
38,3557,3557,3557
39,3771,3771,3771
39,3758,3758,3758
39,3660,3660,3660
