1,0.0,0
6,5.6,5
11,8.2,6
16,14.9,13
21,19.0,16
26,22.4,19
31,28.4,25
36,33.0,30
41,35.8,31
46,42.4,38
51,45.6,41
56,50.8,46
61,54.1,49
66,60.6,56
71,62.8,57
76,67.9,61
81,76.6,71
86,77.2,71
91,80.7,74
96,82.1,75
101,87.6,81
106,91.6,86
136,116.7,111
166,142.7,137
196,177.9,171
226,198.7,189
256,226.5,218
286,244.4,233
316,283.3,273
346,295.8,282
376,325.4,313
406,358.2,345
436,376.9,364
466,403.4,393
496,424.0,410
526,460.5,447
556,480.9,464
586,516.9,503
616,543.5,528
646,560.3,549
676,585.2,570
