1,0.0,0
2,0.0,1
3,3.0,2
4,4.0,3
5,5.0,4
6,6.0,4
7,7.0,5
8,7.0,5
9,9.0,5
10,9.0,6
11,11.0,6
12,12.0,7
13,12.0,7
14,13.0,8
15,15.0,8
16,15.0,8
17,17.0,9
18,18.0,9
19,19.0,12
20,17.0,11
21,19.0,15
26,23.0,19
31,29.0,23
36,33.0,29
41,39.0,33
46,41.0,37
51,44.0,38
56,50.0,41
61,59.0,53
66,62.0,53
71,66.0,58
76,69.0,58
81,73.0,67
86,81.0,71
91,86.0,77
96,89.0,79
101,90.0,85
106,94.0,82
136,119.0,108
166,152.0,137
196,179.0,160
226,206.0,183
256,231.0,205
286,260.0,234
316,285.0,267
346,311.0,287
376,340.0,315
406,369.0,340
436,397.0,374
466,430.0,393
496,456.0,426
526,472.0,445
556,502.0,466
586,534.0,487
