1,721,261620
1,674,251390
1,676,241632
2,814,49727
2,674,44381
2,648,41299
3,650,17970
3,1129,17043
3,549,17461
4,828,10247
4,689,8803
4,860,7377
5,883,5461
5,921,5679
5,819,5226
6,769,3524
6,645,2670
6,621,3361
7,689,3811
7,826,4480
7,778,3996
8,757,2612
8,761,3964
8,600,2762
9,636,2695
9,572,2165
9,833,2847
10,718,1497
10,647,2060
10,560,1093
11,1238,3010
11,582,2680
11,606,2041
12,756,2384
12,602,1514
12,699,1624
13,692,1250
13,615,1160
13,804,1886
14,617,1161
14,639,2083
14,602,1749
15,748,1017
15,720,1356
15,751,1155
16,648,1301
16,700,3023
16,967,1337
17,745,1513
17,1092,1373
17,663,1252
18,773,1397
18,679,1461
18,568,1445
19,640,2206
19,670,1850
19,609,1566
20,823,1709
20,702,998
20,756,1602
21,657,1021
21,575,752
21,508,1156
22,926,1260
22,721,845
22,930,1002
23,708,1040
23,704,961
23,782,1121
24,571,851
24,630,693
24,683,735
25,694,829
25,652,927
25,587,817
26,625,724
26,947,1166
26,697,1363
27,687,895
27,771,1973
27,638,1119
28,541,925
28,800,1341
28,600,1093
29,574,1136
29,954,1129
29,734,1038
30,722,871
30,542,763
30,580,1150
31,630,946
31,554,731
31,651,731
32,688,1150
32,589,810
32,558,767
33,690,1133
33,821,1173
33,781,813
34,513,724
34,686,1149
34,669,932
35,575,685
35,648,655
35,583,1426
36,815,1131
36,849,1029
36,692,896
37,593,743
37,698,808
37,716,780
38,842,977
38,549,735
38,677,927
39,693,1120
39,767,860
39,528,590
